Elbas Flow in MWh/h;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data was last updated 01-01-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hours;SE4 > DK2;DK2 > SE4;SE2 > SE3;SE3 > SE2;SE3 > SE4;SE4 > SE3;SE3 > DK1;DK1 > SE3;SE1 > FI;FI > SE1;SE3 > FI;FI > SE3;NO1 > NO2;NO2 > NO1;SE3 > NO1;NO1 > SE3;SE2 > NO3;NO3 > SE2;SE1 > NO4;NO4 > SE1;SE2 > NO4;NO4 > SE2;DK2 > 50HZ;50HZ > DK2;NO2 > DK1;DK1 > NO2;NO3 > NO4;NO4 > NO3;NO1 > NO3;NO3 > NO1;SE1 > SE2;SE2 > SE1;NO1 > NO5;NO5 > NO1;NO5 > NO2;NO2 > NO5;EE > FI;FI > EE;DK1 > DK2;DK2 > DK1;NO2 > NL;NL > NO2;LT > LV;LV > LT;EE > LV;LV > EE;BE > NL;NL > BE;FI > FRE;FRE > FI;SE4 > LT;LT > SE4;NO3 > NO5;NO5 > NO3
01-01-2020;00 - 01;0;0,3;79;0;241,6;0;0;10;3,5;0;0;90,5;;;67;0;0;1,1;4,2;0;0;0;0;0;3;0;;;;;31,8;0;;;;;0;0;0;85;;;35,2;0;0;24,8;;;;;253,5;0;;
01-01-2020;01 - 02;0;103,7;91,8;0;255,9;0;0;0;25,5;0;0;120,6;;;95;0;0;1,4;1,7;0;0;0;0;0;20,1;0;;;;;9,5;0;;;;;4;0;0;62,9;;;31,1;0;0;25,1;;;;;372,1;0;;
01-01-2020;02 - 03;0;104,1;117,4;0;312,3;0;0;0;42,2;0;0;131,2;;;95;0;0;7;0;0;0;0;0;0;20,1;0;;;;;0;9,6;;;;;0;0;0;76,2;;;27,4;0;0;25,2;;;;;427,4;0;;
01-01-2020;03 - 04;0;39,1;63,3;0;235,9;0;0;50,5;8;0;0;95;;;96;0;0;7;0;0;0;0;0;216,2;0;105,5;;;;;0;0,5;;;;;0;0;0;284,9;;;24,4;0;0;25,4;;;;;286,2;0;;
01-01-2020;04 - 05;0;0;84,4;0;355,7;0;0;0;43;0;0;178,3;;;0;0;0;0;0;7;0;0;0;113,9;0;119,6;;;;;15,6;0;;;;;0;0;0;256,7;;;0;1;0;2,8;;;;;366,5;0;;
01-01-2020;05 - 06;0;0;51,6;0;280,4;0;0;0;0;13,3;0;157,5;;;0;0;0;7;0;0;0;0;0;84;0;0;;;;;16,2;0;;;;;3,9;0;0;164,4;;;0;9,6;8,6;0;;;;;290,4;0;;
01-01-2020;06 - 07;0;0;0;49,2;263,2;0;0;18,4;0;13,9;0;105,6;;;0;0;0;7;0;0;0;0;0;70;0;0;;;;;0;100;;;;;0;14,8;0;178,5;;;0;24,8;24,6;0;;;;;273,2;0;;
01-01-2020;07 - 08;0;0;95,4;0;313,7;0;0;0;68,4;0;2,9;0;;;0;0;0;7;0;0;0;100;0;124;0;106,1;;;;;0;90,9;;;;;0;173,8;0;167,8;;;0;161,3;159;0;;;;;323,7;0;;
01-01-2020;08 - 09;0;0;129;0;227,4;0;0;0;82,4;0;0,8;0;;;0;0;0;7;0;0;0;180;0;0;0;208,6;;;;;0;100,3;;;;;0;239,6;0;25;;;0;187,8;194,2;0;;;;;297,2;0;;
01-01-2020;09 - 10;0;0;159,3;0;237,2;0;0;0;67,7;0;0;14,9;;;0;0;0;27;0;0;0;180;0;81,9;0;231,6;;;;;0;45,1;;;;;0;181,5;0;56,1;;;0;166,2;174,5;0;;;;;318,8;0;;
