Elbas Flow in MWh/h;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data was last updated 11-01-2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hours;SE4 > DK2;DK2 > SE4;SE2 > SE3;SE3 > SE2;SE3 > SE4;SE4 > SE3;SE3 > DK1;DK1 > SE3;SE1 > FI;FI > SE1;SE3 > FI;FI > SE3;NO1 > NO2;NO2 > NO1;SE3 > NO1;NO1 > SE3;SE2 > NO3;NO3 > SE2;SE1 > NO4;NO4 > SE1;SE2 > NO4;NO4 > SE2;DK2 > 50HZ;50HZ > DK2;NO2 > DK1;DK1 > NO2;NO3 > NO4;NO4 > NO3;NO1 > NO3;NO3 > NO1;SE1 > SE2;SE2 > SE1;NO1 > NO5;NO5 > NO1;NO5 > NO2;NO2 > NO5;EE > FI;FI > EE;DK1 > DK2;DK2 > DK1;NO2 > NL;NL > NO2;LT > LV;LV > LT;EE > LV;LV > EE;BE > NL;NL > BE;FI > FRE;FRE > FI;SE4 > LT;LT > SE4;NO3 > NO5;NO5 > NO3
01-01-2016;00 - 01;20;0;31,7;0;20;0;80;0;27;0;0;143,4;0;0;23;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;;;0;0;0;0;;
01-01-2016;01 - 02;0;0;23;0;0;0;0;16,8;27;0;0;35,2;0;0;22;0;0;0;0;0;0;0;0;0;16,8;0;0;0;0;0;0;0;0;0;0;0;3,2;0;0;0;0;0;3,2;0;0;3,2;;;0;0;0;0;;
01-01-2016;02 - 03;15,1;0;15;0;15,1;0;0;17,1;0;0;0;20;0;0;22;0;0;0;0;0;0;0;0;0;17,1;0;0;0;0;0;0;0;0;0;0;0;0;103,5;0;0;0;0;0;100,6;103,5;0;;;0;0;0;0;;
01-01-2016;03 - 04;10,8;0;15;0;10,8;0;0;27,8;0;0;0;8,9;0;0;18;0;0;0;0;0;0;0;0;0;27,8;0;0;0;0;0;0;0;0;0;0;0;0;46,7;0;0;0;0;0;44,5;46,7;0;;;0;0;0;0;;
01-01-2016;04 - 05;2,3;0;0;1,2;2,3;0;0;23,3;0;0;0;3,1;0;0;15;0;0;0;0;0;0;0;0;0;23,3;0;0;0;0;0;0;0;0;0;0;0;0;51,5;0;0;0;0;0;48,8;51,5;0;;;0;0;0;0;;
01-01-2016;05 - 06;19,2;0;0;0;19,2;0;0;11,1;0;0;0;63;0;0;23;0;0;0;0;0;0;0;0;0;11,1;0;0;0;0;0;0;0;0;0;0;0;0;1,5;0;0;0;0;0;0,7;1,5;0;;;0;0;0;0;;
01-01-2016;06 - 07;0;0;0;0;0;0;0;10;0;0;0;33,4;0;0;12;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;1,9;0;0;0;0;0,2;0;1,9;0;;;0;0;0;0;;
01-01-2016;07 - 08;0;0;0;0;0;0;0;20;0;0;7;0;0;0;13;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;2,1;0;0;0;0;0;0;2,1;0;;;0;0;0;0;;
01-01-2016;08 - 09;0;0;96,9;0;0,1;0;39;0;0;0;112;0;0;0;8;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;2;0;0;0;0;0;215;0;0;0;0;0;0;0;0;;;0;0;0;0;;
01-01-2016;09 - 10;12,1;0;73,5;0;12,1;0;0;40;0;0;169,3;0;0;0;13;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;9,3;0;0;0;0;0;0;227;0;12,1;0;0;0;0;0;0;;;0;0;0;0;;
01-01-2016;10 - 11;121,5;0;33,4;0;121,5;0;0;63;0;0;76,5;0;0;0;23;0;0;0;0;0;0;0;0;0;73;0;0;0;0;0;17,5;0;0;0;0;5;0;169;0;121,5;0;0;0;0;0;0;;;0;0;0;0;;
01-01-2016;11 - 12;125;0;10,2;0;125;0;0;20;0;0;86,2;0;0;0;9;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;7;0;0;0;30;0;0;184;0;125;0;0;0;0,6;0;0;;;0;0;0;0;;
01-01-2016;12 - 13;143,8;0;40,5;0;143,1;0;30;0;0;0;8,4;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25,6;0;0;0;0;0;0;197;0;143,8;0;0;0;0;0;0;;;0;0;0;0;;
01-01-2016;13 - 14;110;0;19,8;0;110;0;24;0;0;0;10,1;0;0;0;10;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;7,7;0;0;0;0;11;0;174,1;0;110;0;0;0;0;0;0;;;0;0;0;0;;
01-01-2016;14 - 15;174;0;31,1;0;173,2;0;0;0;0;0;0;133;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,9;0;0;0;0;10;0;5;0;174;0;0;0;0;0;0;;;0;0;0;0;;
01-01-2016;15 - 16;141,2;0;1,8;0;141,2;0;12,7;0;0;0;0;109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,9;0;0;0;0;0;0;5;0;141,2;0;0;0;0;0;0;;;0;0;0;0;;
01-01-2016;16 - 17;0;0;0;18;0;25;147;0;0;0;0;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;;;0;0;0;0;;
01-01-2016;17 - 18;0;0;0;0;5;0;52,8;0;0;0;0;14,8;0;0;0;0;0;20;0;8;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;;;0;0;0;0;;
01-01-2016;18 - 19;0;0;0;0;0;25;106,9;0;0;0;0;3,9;0;0;0;0;0;20;0;0;0;0;0;111;0;0;0;0;0;0;0;0;0;0;0;0;0;10;64,9;0;0;0;0;0,4;0;0;;;0;0;0;0;;
01-01-2016;19 - 20;0;0;88,8;0;0;25;102;0;0;0;34;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;102;0;0;0;0;0;0;0;;;0;0;0;0;;
01-01-2016;20 - 21;0;0;38,6;0;0;25;0;0;0;0;105,8;0;0;0;0;0;0;25,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;0;0;0;0;0;0;0;0;;;0;0;0;0;;
01-01-2016;21 - 22;20;0;41,3;0;0;5;13;0;0;0;0;0;0;0;10;0;0;13;0;0;0;10;0;0;0;13;0;13;0;0;6,3;0;0;0;0;13;0;58;0;20;0;0;0;0;0;0;;;0;0;0;0;;
01-01-2016;22 - 23;0;0;0;8,4;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;;;0;0;0;0;;
01-01-2016;23 - 00;30;0;0;3;5;0;0;0;0;0;0;72,7;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;;;0;0;0;0;;
02-01-2016;00 - 01;0;0;0;63;0;0;0;0;0;0;0;58,7;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;22,9;0;0;0;0;0;14,9;14,9;0;;;0;0;0;0;;
02-01-2016;01 - 02;0;41;0;100;0;41;0;0;0;0;0;59;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;;;0;0;0;0;;
