Elbas Flow in MWh/h;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data was last updated 01-01-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hours;SE4 > DK2;DK2 > SE4;SE2 > SE3;SE3 > SE2;SE3 > SE4;SE4 > SE3;SE3 > DK1;DK1 > SE3;SE1 > FI;FI > SE1;SE3 > FI;FI > SE3;NO1 > NO2;NO2 > NO1;SE3 > NO1;NO1 > SE3;SE2 > NO3;NO3 > SE2;SE1 > NO4;NO4 > SE1;SE2 > NO4;NO4 > SE2;DK2 > 50HZ;50HZ > DK2;NO2 > DK1;DK1 > NO2;NO3 > NO4;NO4 > NO3;NO1 > NO3;NO3 > NO1;SE1 > SE2;SE2 > SE1;NO1 > NO5;NO5 > NO1;NO5 > NO2;NO2 > NO5;EE > FI;FI > EE;DK1 > DK2;DK2 > DK1;NO2 > NL;NL > NO2;LT > LV;LV > LT;EE > LV;LV > EE;BE > NL;NL > BE;FI > FRE;FRE > FI;SE4 > LT;LT > SE4;NO3 > NO5;NO5 > NO3
01-01-2019;00 - 01;0;89,4;0;30;0;95,6;0;191,3;0;5;174,5;0;;;60;0;0;0;0;0;;;189,9;0;;;;;;;0;22;;;;;14;0;264,3;0;;;0;6,2;0;0;;;;;0;6,2;;
01-01-2019;01 - 02;212,4;0;47;0;174,6;0;0;11;8;0;0;116,2;;;32;0;0;0;0;0;;;507,8;0;;;;;;;0;28;;;;;66;0;283,4;0;;;28;0;0;36;;;;;0;37,8;;
01-01-2019;02 - 03;0;2,9;0;95,3;0;121,9;6,5;0;95,3;0;0;16,9;;;32;0;0;0;0;0;;;375,7;0;;;;;;;0;95,3;;;;;18;0;386,6;0;;;10;0;0;18;;;;;0;119;;
01-01-2019;03 - 04;0;0;0;0;0;0;10;0;40;0;0;0;;;0;0;0;0;0;0;;;327,6;0;;;;;;;0;40;;;;;7,5;0;258;0;;;0;0;0;7,5;;;;;0;0;;
01-01-2019;04 - 05;0;0;0;10;9,2;0;0;0;4;0;0;9,2;;;0;0;0;0;0;0;;;277,1;0;;;;;;;0;4;;;;;7,5;0;217,6;0;;;0;0;0;7,5;;;;;0;0;;
01-01-2019;05 - 06;0;0;0;10;1,7;0;0;0;10;0;0;1,7;;;0;0;0;0;0;0;;;273;0;;;;;;;0;10;;;;;0;0;208;0;;;0;7,5;0;0;;;;;0;7,5;;
01-01-2019;06 - 07;0;0;0;9,1;9,2;0;0;0;0;11,1;0;18,3;;;0;0;0;0;0;0;;;369,6;0;;;;;;;0;14,1;;;;;5,2;0;209,7;0;;;0;0;0;5,2;;;;;0;0;;
01-01-2019;07 - 08;0;26;0;0,8;0;16,8;0;11;66,3;0;0;0;;;0;14,6;0;0;0;5;;;248,8;0;;;;;;;0;20;;;;;5,3;0;127,1;0;;;0;0;0;5,3;;;;;0;0;;
01-01-2019;08 - 09;0;26;0;15,8;0;16,8;0;11;132,7;0;0;0;;;32;0;0;0;0;0;;;142,8;0;;;;;;;0;82,8;;;;;6,2;0;57;0;;;0;0;0;5;;;;;0;0;;
01-01-2019;09 - 10;0;0;6,2;0;9,2;0;0;0;7,9;0;0;0;;;0;0;0;0;0;0;;;212,8;0;;;;;;;0;9,7;;;;;5,8;0;118,7;0;;;0;0;0;5,8;;;;;0;0;;
01-01-2019;10 - 11;0;22;0;14;0;12,8;0;10;212,5;0;0;26,5;;;28;0;0;0;0;0;;;239;0;;;;;;;0;73,7;;;;;15,2;0;120,6;0;;;0;0;0;5,6;;;;;0;0;;
