Elbas Flow in MWh/h;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data was last updated 01-01-2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hours;SE4 > DK2;DK2 > SE4;SE2 > SE3;SE3 > SE2;SE3 > SE4;SE4 > SE3;SE3 > DK1;DK1 > SE3;SE1 > FI;FI > SE1;SE3 > FI;FI > SE3;NO1 > NO2;NO2 > NO1;SE3 > NO1;NO1 > SE3;SE2 > NO3;NO3 > SE2;SE1 > NO4;NO4 > SE1;SE2 > NO4;NO4 > SE2;DK2 > 50HZ;50HZ > DK2;NO2 > DK1;DK1 > NO2;NO3 > NO4;NO4 > NO3;NO1 > NO3;NO3 > NO1;SE1 > SE2;SE2 > SE1;NO1 > NO5;NO5 > NO1;NO5 > NO2;NO2 > NO5;EE > FI;FI > EE;DK1 > DK2;DK2 > DK1;NO2 > NL;NL > NO2;LT > LV;LV > LT;EE > LV;LV > EE;BE > NL;NL > BE;FI > FRE;FRE > FI;SE4 > LT;LT > SE4;NO3 > NO5;NO5 > NO3
01-01-2018;10 - 11;0;127;229,3;0;0;300,3;0;0;25,2;0;88,9;0;0;0;0;0;0;233,8;0;0;0;0;0;0;86,3;0;0;0;0;0;50,7;0;0;0;0;253,8;0;22;157;0;0;469;1,6;0;0;0;;;0;0;0;178,3;0;253,8
01-01-2018;11 - 12;0;151,2;374,5;0;0;322,8;0;0;0;0;141,4;0;0;9,7;0;0;0;263,6;0;0;0;0;0;0;0;0;0;0;0;0;0;27;9,7;0;0;253,9;0;0;189,7;0;0;290,1;12,4;0;0;19;;;0;0;0;181,8;0;263,6
01-01-2018;12 - 13;0;0;146,6;0;0;228,8;0;80;0;0;115,3;0;0;0;0;0;0;94,8;0;0;0;0;0;0;0;0;0;0;0;0;0;2,1;0;0;0;94,8;3,5;0;0;0;0;123,5;0;0,8;0;20;;;0;0;0;223,7;0;94,8
01-01-2018;13 - 14;0;0;75,4;0;0;375,3;0;93;0;0;69,8;0;0;0;0;0;0;27,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27,4;19,5;0;0;0;0;50;0;82,2;0;34;;;0;0;0;288,5;0;27,4
01-01-2018;14 - 15;32;0;158,8;0;0;333,7;0;82;0;0;132,6;0;0;0;0;0;0;83,8;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;83,8;54,5;0;0;0;0;102;0;121,8;0;69;;;0;0;0;304,6;0;83,8
01-01-2018;15 - 16;50;0;74;0;0;261,7;0;164;0;0;26,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;0;77,9;0;80;;;0;0;0;232,9;0;0
01-01-2018;16 - 17;0;74;84,8;0;0;351,4;0;1;0;20;0;12,3;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;20;0;0;0;1;0;0;20;0;16,6;0;133,6;0;0;0;0;47;0;16,6;;;0;0;0;201,6;20;0
01-01-2018;17 - 18;0;220,2;109;0;0;422,7;0;0;0;0;0;59;0;0;0;0;0;0;0;0;0;0;105,1;0;0;24,9;0;0;0;0;0;16;0;0;0;30;46,5;0;325,3;0;0;0;0;15;0;44,5;;;0;0;0;142,7;0;0
01-01-2018;18 - 19;0;16,1;81,5;0;0;314,8;0;6,8;0;0;0;37,1;0;0;0;0;0;10;0;0;0;10;382,2;0;6,8;0;0;0;0;0;0;34,5;0;0;0;0;18,6;0;378,3;0;0;0;0;62;11,4;0;;;0;0;0;179,7;0;0
01-01-2018;19 - 20;0;147,4;5,4;0;0;424,1;0;9;0;0;0;48;0;0;0;0;0;25;0;0;0;0;164,5;0;9;0;0;0;0;0;0;34,8;0;0;0;15;2;0;295,5;0;0;0;0;75;0;2;;;0;0;0;188,7;0;15
01-01-2018;20 - 21;0;357,9;0;27,4;0;624,1;0;21;0;0;72,3;0;0;0;0;0;0;0;0;0;0;0;8,1;0;21;0;0;0;0;0;0;53,5;0;0;0;0;16,6;0;320;0;0;0;0;66,8;0;16,6;;;0;0;0;180,5;0;0
01-01-2018;21 - 22;113,8;0;206,6;0;0;75,9;0;13;0;43;0;31,1;0;0;0;0;0;0;66;0;0;10;366,2;0;33,8;0;0;66;0;0;0;31,4;0;0;76;0;36,7;0;206,4;0;46;0;0;29,3;0;30;;;0;0;0;125;76;0
01-01-2018;22 - 23;71,3;0;130;0;0;99,8;0;6;0;0;0;134,7;0;0;0;0;0;45;0;0;0;10;238,9;0;7,7;0;0;0;0;0;0;10,8;0;0;0;0;20;0;164,6;0;0;0;0;27,3;0;20;;;0;0;0;114;0;0
01-01-2018;23 - 00;0;242,3;4,2;0;0;373,4;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;26,3;0;0;20;0;0;0;239,3;0;0;0;0;31,1;0;0;;;0;0;23,9;0;0;0
02-01-2018;00 - 01;0;0;32,1;0;31,8;0;0;0;0;6,4;29,7;0;0;100,3;0;65,7;0;46,7;0;0;0;0;0;0;0;0;0;0;0;0;30;0;34,6;0;0;12,1;4,3;0;0;0;0;147;0;0;0;4,3;;;0;0;0;0;0;46,7
02-01-2018;01 - 02;0;0;43,5;0;29;0;0;0;0;1,5;16,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;2,2;0;0;0;0;0;0;0;0;2,2;;;0;0;0;2,7;0;0
02-01-2018;02 - 03;75;0;184,2;0;100,2;0;0;0;10;0;151,4;0;0;126,5;0;35,2;0;65;0;0;0;55;0;0;0;0;5;0;0;0;14,2;0;91,3;0;41,3;0;0,3;0;0;75;0;171,5;0;0;0;0,3;;;0;0;0;7,8;0;0
02-01-2018;03 - 04;90;0;102,5;0;118,5;0;0;0;0;1;66,4;0;0;119;0;43,9;0;22,5;0;0;0;77,5;0;0;0;0;27,5;0;0;0;17,7;0;75,1;0;25,1;0;0;0;0;85;0;173,6;1,8;0;0;0;;;0;0;0;6,5;0;0
02-01-2018;04 - 05;0;0;0;2,9;20,9;0;0;0;3;0;53,1;0;0;87;0;0;0;0;0;0;0;16,1;0;0;0;0;0;33,9;0;0;23,3;0;87;0;120,9;0;0;0;0;0;0;28,4;1,3;0;0;0;;;0;0;0;9,1;83,9;0
02-01-2018;05 - 06;0;20;0;3,7;0;16,1;0;0;0;10;93,1;0;0;135;0;135;0;113;0;0;0;0;0;0;0;0;0;0;0;0;15,3;0;0;0;0;113;0;0;0;0;0;268;0;0,4;0;0;;;0;0;0;26,1;0;113
02-01-2018;06 - 07;0;26;684,9;0;0;10,9;0;0;0;0;0;19,5;0;3,7;0;13,7;14;0;0;0;0;0;0;0;0;0;0;0;0;0;712,3;0;0;0;14;0;0;0;0;0;0;0;1,1;0;0;0;;;0;0;0;26,6;14;0
02-01-2018;07 - 08;0;0;744,9;0;45,2;0;0;0;0;0;0;103,4;0;0;0;9;0;17,5;0;15;0;0;0;160;0;0;0;0;0;0;728,1;0;1;0;1;0;0;0;0;70;1;0;8,1;0;0;0;;;0;0;0;5,8;0;0
02-01-2018;08 - 09;0;0;831;0;64,6;0;1;0;0;0;11;0;0;0;0;3;0;10;0;15;0;0;0;70,6;0;1;0;0;0;0;727;0;0;0;0;0;0;46,9;10;0;1;0;0;30,6;46,9;0;;;0;0;0;26,4;0;0
02-01-2018;09 - 10;0;0;751,6;0;0;101,7;3,6;0;0;0;124,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,6;0;0;0;0;682;0;0;0;0;0;0;115,7;212,1;0;1;0;0;242,6;68,3;0;;;0;0;0;237,1;0;0
02-01-2018;10 - 11;129,1;0;736,2;0;0;60,6;0;170,1;0;0;273,8;0;0;4;0;8;0;0;0;0;0;0;0;0;0;1;0;0;0;0;672,9;0;0;0;0;0;0;291,6;118,7;0;1;0;0;323,7;226,3;0;;;0;0;0;309,8;0;0
02-01-2018;11 - 12;5,9;0;726,9;0;0;43,3;0;190,3;0;0;167,2;0;0;9,2;0;13,2;0,1;0;0;0;0;0;0;0;0;4,9;0;0;0;0;662,9;0;1;0;1,1;0;0;210,7;159,1;0;1;0;0;208,9;158,4;0;;;0;0;0;192,2;0,1;0
02-01-2018;12 - 13;146,9;0;813;0;0;3,9;0;264,6;0;0;249,1;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;3,2;0;0;0;0;719,3;0;0,5;0;0,5;0;0;239,2;124,5;0;1;0;0;297,9;183,7;0;;;0;0;0;271,8;0;0
02-01-2018;13 - 14;85,5;0;760,5;0;0;5,7;0;220,1;0;115,9;206,9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4,7;0;0;0;0;711,7;0;1;0;1;0;0;103,5;144,3;0;1;0;0;166,5;59,5;0;;;0;0;0;130,2;0;0
02-01-2018;14 - 15;235,9;0;468,9;0;0;1,4;0;389;0;17;418;0;0;0;0;0;34;0;0;0;0;0;0;0;0;2;0;0;0;0;416,3;0;0;0;0;0;0;482,2;0;0;1;0;0;359,6;366,4;0;;;0;0;0;321;0;0
02-01-2018;15 - 16;104,1;0;431,6;0;0;9,2;0;272,3;0;5,9;311,2;0;0;0;5;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;273;0;0;0;0;0;0;293,6;181,5;0;1;0;0;232,4;170,9;0;;;0;0;0;266;0;0
02-01-2018;16 - 17;0;0;309,3;0;60,3;0;0;167,7;5,7;0;301,4;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;181,6;0;0;0;0;0;0;193,6;193,2;0;1;0;0;105;57,9;0;;;0;0;0;71,8;0;0
02-01-2018;17 - 18;0;0;0;0;56,3;0;0;30,4;179,1;0;54;0;1;0;0;16,5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129,7;0;0;0;0;0;122,2;12,9;0;1;0;0;43,3;0,2;0;;;0;0;0;38,8;0;0
02-01-2018;18 - 19;0;7,6;173,9;0;0;6,1;1;0;0;0;181,4;0;0;0;0;12,5;0;0;0;0;0;0;0;50;0;1;0;0;0;0;37,8;0;0;0;0;0;0;205,6;65,4;0;1;0;0;151;97;0;;;0;0;0;116,1;0;0
02-01-2018;19 - 20;0;7,2;114;0;0;7,9;10,4;0;0;13;39,5;0;0;0;0;0;0;0;0;0;0;0;100;0;0;10,4;0;0;0;0;0;43,9;0;0;0;0;0;122,3;120,2;0;1;0;0;121,7;0;0;;;0;0;0;80,6;0;0
02-01-2018;20 - 21;0;348,9;78,8;0;0;261,7;94,3;0;0;50;217,9;0;12,5;0;39,9;0;44,6;0;0;0;0;0;0;381,8;0;94,3;0;0;0;0;65,2;0;39,9;0;0;11,5;0;111;36,7;0;1;0;0;97,7;4,7;0;;;0;0;0;55,1;34,6;0
02-01-2018;21 - 22;0;111,9;42,1;0;98,5;0;28,7;0;0;0;62;0;0;0;0;106,4;39,6;0;0;0;0;0;0;124;0;28,7;0;0;0;0;90,3;0;0;93,9;0;54,3;12;0;36,7;0;0;0;45,7;0;0;67;;;0;0;98,7;0;39,6;0
02-01-2018;22 - 23;0;88,7;0;85,5;0;50,9;0;0;0;0;53;0;0;0;30,5;0;267,7;0;0;0;0;0;0;0;0;0;0;0;0;0;117,5;0;43;0;310,7;0;0;54;0;0;350,7;0;0;20,5;3;0;;;0;0;2,5;0;267,7;0
02-01-2018;23 - 00;0;87,5;0;115,3;58,6;0;0;0;11,2;0;0;65,2;0;0;0;10;273,7;0;0;0;0;0;0;0;0;0;0;0;0;0;109;0;0;44;229,7;0;0;4,3;0;0;270,2;0;0;0;4,3;0;;;0;0;38;0;273,7;0
03-01-2018;00 - 01;0;0;6,3;0;1,8;0;0;0;0;0;31,6;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0;0;0;11,8;0;0;7,1;0,4;0;0;0;;;0;0;0,4;0;0;0
03-01-2018;01 - 02;0;0;0;8,2;0,2;0;0;0;0;0;21,9;0;0;0;6,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,6;18,9;0;18,9;0;0;0;54;0;24,8;0;0,2;0;0;0;;;0;0;0,2;0;0;0
03-01-2018;02 - 03;0;0;25;0;0;0;0;0;5;0;40,2;0;0;0;0;24,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19,2;11,8;0;0,3;0;240;0;0;14,2;0;0;0;0,3;;;0;0;0;0;0;0
03-01-2018;03 - 04;0;0;1,6;0;0,6;0;0;0;0;0;25,4;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;19;12;0;0;0;150,8;0;0;19;0,6;0;0;0;;;0;0;0,6;0;0;0
03-01-2018;04 - 05;0;0;13;0;1,7;0;0;0;0;0;0;5,9;0;0;43,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;55,2;0;55,2;0;0;0;195;0;59,4;0;1,7;0;0;0;;;0;0;1,7;0;0;0
03-01-2018;05 - 06;0;0;2,7;0;11,5;0;0;0;0;0;0;28,3;0;0;80,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;92,4;0;92,4;0;0;0;270;0;93,5;0;0,7;0;0;0;;;0;0;0,7;0;0;0
03-01-2018;06 - 07;0;0;13,5;0;14;0;0;0;8;0;0;21,5;0;0;125,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;125,5;0;125,5;0;16,9;0;0;0;132;0;0;60;0;16,9;;;0;0;0;60;0;0
03-01-2018;07 - 08;82;0;2,1;0;156,2;0;56,9;0;0;0;0;134;0;0;2;0;87,9;0;0;0;0;0;0;0;0;277,5;0;0;0;0;0;0;2;0;104,9;0;0;22,8;0;0;437,6;0;0;0;0,3;0;;;0;0;0;0;67,9;0
03-01-2018;08 - 09;0;37;25;0;0;54;85;0;0;0;19;0;0;0;113;0;116;0;0;0;0;0;0;0;0;445;0;0;0;0;25;0;113;0;234;0;0;22,1;0;56;700;0;0;0;2,1;0;;;0;0;0;0;86;0
03-01-2018;09 - 10;75;0;67,3;0;62,9;0;221,9;0;0;0;0;88,1;0;0;0;0;130;0;0;0;0;0;0;0;0;533,9;0;0;0;0;84;0;0;0;130;0;0;54,4;0;44;700;0;0;0;2,2;0;;;0;0;0;0;130;0
03-01-2018;10 - 11;38,8;0;51,5;0;0;80,6;325,6;0;0;0;18,4;0;0;0;0;10;96,2;0;0;0;0;0;0;0;0;553,8;0;0;0;0;0;3,6;0;0;96,2;0;0;55,9;0;2,2;700;0;0;63;0;4,1;;;0;0;0;71;96,2;0
03-01-2018;11 - 12;70,6;0;39,4;0;9,8;0;235;0;0;0;0;78,6;0;0;15;0;65;0;0;0;0;0;0;0;0;585;0;0;0;0;0;7,9;15;0;85;0;0;42,4;0;158;700;0;14;0;0;11,5;;;0;0;0;0;70;0
03-01-2018;12 - 13;143;0;0;176,3;0;18,5;219;0;0;0;0;4;0;0;0;52;113,1;0;0;0;0;0;0;0;0;575,2;0;0;0;0;60,6;0;0;54;124,8;0;0;64,5;0;120,3;700;0;0;45;0;19,5;;;0;0;0;78;178,8;0
03-01-2018;13 - 14;173,8;0;0;346,4;37,1;0;320,1;0;0;0;0;50,2;0;0;2;0;14,9;0;0;0;0;0;0;0;0;620,1;0;0;0;0;22,3;0;0;0;79,9;0;0;19,4;0;233;700;0;0;4,7;0;57,9;;;0;0;0;43,7;79,9;0
03-01-2018;14 - 15;80,5;0;0;521,3;0;84;400,3;0;0;0;0;72,5;2,9;0;0;0,1;0;0;0;0;0;0;0;0;0;690,3;0;0;0;0;21,8;0;0;0;0;0;0;16;0;132;700;0;0;12,5;0;71,5;;;0;0;0;62,5;0;0
03-01-2018;15 - 16;164,1;0;0;589,6;0;19,7;356,1;0;0;0;0;78;3;0;0;0;27,5;0;0;0;0;0;0;0;0;653,6;0;0;0;0;3;0;0;0;27,5;0;10,1;0;0;143;700;0;0;99,8;0;50;;;0;0;0;150,8;27,5;0
03-01-2018;16 - 17;396;0;0;686;161,7;0;242;0;0;0;0;148,4;3;0;8;0;45;0;0;0;0;0;0;0;0;637;0;0;0;0;0;24;15;0;60;0;20,2;0;0;440;700;0;0;136,3;0;22,1;;;0;0;0;196,3;45;0
03-01-2018;17 - 18;524;0;0;687,2;446,9;0;253,3;0;0;0;0;194,8;0;11;0;0;0;0;0;0;0;0;0;0;0;673,3;0;0;0;0;0;113,3;25;0;25;0;87,7;0;0;530,2;700;0;0;71;0;69,7;;;0;0;0;132;0;0
03-01-2018;18 - 19;507,1;0;0;736,9;478;0;290;0;0;0;0;212,8;0;26;1;0;34;0;0;0;0;0;0;0;0;626;0;0;0;0;0;115,4;41;0;75;0;27,7;0;0;388,4;700;0;0;28,7;0;14,7;;;0;0;0;96,7;34;0
03-01-2018;19 - 20;493,8;0;0;844,8;536;0;257;0;0;0;0;207;3;0;0;0;0;60;0;0;0;0;0;0;0;657;0;0;0;0;0;278,9;0;0;30;0;48,2;0;0;506,8;700;0;6,2;0;0;30;;;0;0;0;49,8;30;0
03-01-2018;20 - 21;541,6;0;0;666,4;596,7;0;30,3;0;0;8,8;0;124,5;0;0;0;0;0;82,3;0;0;0;0;0;0;0;331,3;0;0;0;0;0;147,9;3;0;25,7;0;33,5;0;0;554,6;364;0;0;21,5;0;0,7;;;0;0;0;66,3;22,7;0
03-01-2018;21 - 22;372,2;0;0;687,7;439,2;0;0;29,1;0;0;0;57;0;0;1;0;0;35,4;0;0;0;0;0;0;0;238,5;0;0;0;0;0;147,2;0;0;0;5,4;64,6;0;0;320,2;230;0;3,5;0;0;57,9;;;0;0;0;39,2;0;5,4
03-01-2018;22 - 23;229,3;0;0;671,1;257,8;0;47;0;0;0;60,7;0;0;0;0;3;0;9,9;0;0;0;0;0;0;0;29,8;0;0;0;0;0;165,9;0;0;20,1;0;5,3;0;0;184,3;20;0;0;36,4;0;15,3;;;0;0;0;84,7;20,1;0
03-01-2018;23 - 00;347,5;0;0;646,8;411,3;0;40;0;0;0;114,7;0;0;149,1;0;161,1;5,7;0;0;0;0;0;0;0;0;304,6;0;0;0;0;0;206,8;3;0;40,7;0;0;10;0;295,9;228,5;0;0;47,5;0;0;;;0;0;0;84,1;37,7;0
04-01-2018;00 - 01;45,2;0;0;14,7;35,9;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;16,2;0;0;0;0;0;0;12;0;0;0;0;0;0;0;12;0;0;0;0;0;0;;;0;0;0;11;0;0
04-01-2018;01 - 02;93,6;0;0;21,3;74,2;0;0;0;0;0;0;50,4;0;3,4;0;3,4;0;0;0;0;0;0;0;0;10,6;0;0;0;0;0;0;14;0;0;0;0;0;0;0;28,5;0;0;0;5,1;0;0;;;0;0;0;21,1;0;0
04-01-2018;02 - 03;38,3;0;6;0;24,6;0;0;0;0;5,8;0;38,6;0;0;0;0;0;0;0;0;0;0;0;0;9,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,5;0;0;0;8,7;0;0;;;0;0;0;13,7;0;0
04-01-2018;03 - 04;0;0;0;31;0;36;0;0;0;7,7;19,9;0;0;18;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;8;0;0;;;0;0;0;36;0;0
04-01-2018;04 - 05;0;11,7;0;50;0;47,3;4;0;0;0;68,4;0;0;215,4;0;211,5;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;29;3,9;0;3,9;0;25;0;0;29;0;181;0;6,6;0;0;;;0;0;0;36,6;0;0
04-01-2018;05 - 06;81,6;0;0;1,9;39,2;0;38,2;0;0;0;0;2,7;0;78,9;0;78,9;0;91,1;0;0;0;0;0;0;0;38,2;0;0;0;0;7;0;0;0;0;91,1;25;0;0;0;0;111;0;6,4;0;0;;;0;0;0;42,4;0;91,1
04-01-2018;06 - 07;104,9;0;0;401,5;88,3;0;37,9;0;0;0;0;10,2;0;143;0;143;0;10;0;0;0;0;0;0;0;37,9;0;0;0;0;0;199,5;0;0;0;10;0;0;0;0;0;104;0;6,2;0;0;;;0;0;0;76,6;0;10
04-01-2018;07 - 08;69,4;0;0;388,5;13;0;0;9;0;0;0;5,3;0;3,2;66,8;0;0;3,5;0;0;0;0;0;0;9;0;0;0;0;0;0;258,5;70;0;70;0;26;0;0;0;0;0;0;26,2;0;0;;;0;0;0;79,4;0;0
04-01-2018;08 - 09;0;0;0;67,4;0;0;0;0;0;0;0;75,7;0;16,6;0;16,6;0;0;0;0;0;0;0;45;0;0;0;0;0;0;10,6;0;0;0;0;0;28,3;0;50;0;0;0;0;24,6;0;0;;;0;0;0;61,4;0;0
04-01-2018;09 - 10;0;0;0;86,2;0;0;0;0;0;0;0;46,4;0;17,6;0;12,6;0;7;0;0;0;0;0;112;0;0;0;0;0;0;61,7;0;3;0;0;7;26,3;0;0;42;0;0;0;2,9;0;0;;;0;0;0;33,6;0;10
04-01-2018;10 - 11;45,9;0;0;384,1;0;0;0;0;0;3;0;149,6;0;38;0;34;0;24;0;0;0;0;0;48;0;0;0;0;0;0;0;211;0;0;0;25;47,5;0;0;45;0;0;0;6,8;0;0;;;0;0;0;48,9;0;25
04-01-2018;11 - 12;1,5;0;0;528,1;0;0;0;0;0;5,2;0;118,2;0;16;0;19;0;13;0;0;0;0;0;24,5;0;0;0;0;0;0;0;408,5;0;0;0;10;41,5;0;190;0;0;0;0;6,6;0;0;;;0;0;0;33,9;0;10
04-01-2018;12 - 13;198,1;0;0;533,8;0;0;0;0;0;71,1;0;28,9;0;37,9;0;39,9;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;418,7;4;0;0;26;29,5;0;46,6;0;0;0;0;8;0;0;;;0;0;0;235;0;30
04-01-2018;13 - 14;103;0;0;591,6;0;0;0;0;0;75;0;111;0;33;0;39;0;33,6;0;0;0;0;0;0;0;0;0;0;0;0;0;477,8;0;0;0;29,6;46;0;0;50;0;0;0;7,4;0;0;;;0;0;0;130,9;0;29,6
04-01-2018;14 - 15;49,7;0;0;566,6;0;0;0;0;0;0;0;94,4;0;1,7;0;2,7;0;52,8;0;0;0;0;0;55;0;0;0;0;0;0;0;453,1;5;0;0;43,8;48,9;0;0;7,2;0;0;0;8,1;0;0;;;0;0;0;66,4;0;48,8
04-01-2018;15 - 16;0;0;0;709;0;186,2;0;0;0;3;0;143;0;20;0;28;0;44,5;0;0;0;0;0;185,6;0;0;0;0;0;0;0;453;0;0;0;48,5;55;0;10;0;0;0;0;6,7;0;0;;;0;0;0;230;0;48,5
04-01-2018;16 - 17;0;0;0;715,5;0;79,8;0;0;0;0;0;97,1;0;56,9;0;67,9;0;24;0;0;0;0;0;325;0;0;0;0;0;0;0;397,9;0;0;0;24;54;0;0;90;0;0;0;8;0;0;;;0;0;0;180,8;0;24
04-01-2018;17 - 18;0;0;0;678;0;299,3;0;0;0;0;1,7;0;0;90;0;87;0;48;0;0;0;0;0;455;0;0;0;0;0;0;0;371;10;0;0;5;50;0;0;90;0;15;0;7,1;0;0;;;0;0;0;397,3;0;15
04-01-2018;18 - 19;0;0;0;616;0;126,5;0;0;0;0;0;5,3;0;10;0;4;0;108,3;0;1,7;0;0;0;364;0;0;1,7;0;0;0;0;351,3;10;0;0;52;54;0;0;0;0;0;0;5,2;0;0;;;0;0;0;212,2;0;62
04-01-2018;19 - 20;0;10;0;597,1;0;0;0;0;0;0;0;104;0;57,6;0;55,6;0;91;0;0;0;0;0;278,6;0;0;0;0;0;0;0;400;5;0;0;45;56;0;0;20,6;0;0;0;4,3;0;0;;;0;0;0;0;0;50
