Elbas Flow in MWh/h;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data was last updated 01-01-2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hours;SE4 > DK2;DK2 > SE4;SE2 > SE3;SE3 > SE2;SE3 > SE4;SE4 > SE3;SE3 > DK1;DK1 > SE3;SE1 > FI;FI > SE1;SE3 > FI;FI > SE3;NO1 > NO2;NO2 > NO1;SE3 > NO1;NO1 > SE3;SE2 > NO3;NO3 > SE2;SE1 > NO4;NO4 > SE1;SE2 > NO4;NO4 > SE2;DK2 > 50HZ;50HZ > DK2;NO2 > DK1;DK1 > NO2;NO3 > NO4;NO4 > NO3;NO1 > NO3;NO3 > NO1;SE1 > SE2;SE2 > SE1;NO1 > NO5;NO5 > NO1;NO5 > NO2;NO2 > NO5;EE > FI;FI > EE;DK1 > DK2;DK2 > DK1;NO2 > NL;NL > NO2;LT > LV;LV > LT;EE > LV;LV > EE;BE > NL;NL > BE;FI > FRE;FRE > FI;SE4 > LT;LT > SE4;NO3 > NO5;NO5 > NO3
01-01-2018;00 - 01;35;0;0;53,9;47,6;0;0;95;0;37,7;0;80;0;0;0;0;0;0;0;0;0;0;0;0;145;0;0;0;0;0;7,6;0;0;0;0;20;47,7;0;0;0;0;148;51,1;0;0;47,7;;;0;0;12,6;0;0;0
01-01-2018;01 - 02;0;23,6;0;77,5;0;57,2;0;98;1;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;375;0;0;0;0;0;0;30;0;0;0;0;52;0;52,2;0;0;467,3;61;0;0;52;;;0;0;0;45,1;0;0
01-01-2018;02 - 03;0;67,9;0;43,4;0;215,7;0;37;0;17;46,6;0;0;0;0;0;0;6,7;23,6;0;0;0;0;0;402,9;0;0;23,6;0;0;0;6,6;0;0;0;6,1;0;6,6;129,1;0;0;471;0;0;6,6;0;;;0;0;0;151,3;13,9;0
01-01-2018;03 - 04;0;72;0;36,4;0;216,3;0;16;3,6;0;22,5;0;0;15;0;0;0;0;0;0;0;0;0;0;292;0;0;0;0;0;18,4;0;15;0;0;5;0;0;56,5;0;0;351,6;8,3;0;0;0;;;0;0;0;157,8;0;0
01-01-2018;04 - 05;89,6;0;154,5;0;0;64,2;0;0;7;0;27,6;0;0;100;0;0;0;187,2;0;0;0;0;0;0;127,8;0;0;0;0;0;0;5;100;0;0;107,2;0;0;15,4;0;0;315;8,6;0;0;0;;;0;0;0;157,3;0;187,2
01-01-2018;05 - 06;3,2;0;24,1;0;0;115,6;0;1;0;0;33,7;0;0;0;2;0;0;9,9;0;0;0;0;0;0;129,6;0;0;0;0;0;12;0;0;0;0;59,9;0;0;43,8;0;0;309,7;8,4;0;0;0;;;0;0;0;130,3;0;39,9
01-01-2018;06 - 07;0;106;162,6;0;0;119,2;0;16;3;0;92;0;0;0;19;0;0;115,1;0;0;0;0;0;0;0;0;30;0;0;0;0;55;0;0;0;205,1;0;0;82;0;0;269;7,1;0;0;0;;;0;0;0;16,7;0;185,1
01-01-2018;07 - 08;0;25;38,5;0;0;138,6;0;19;0;0;0;17,2;0;0;19;0;0;130,8;0;0;0;0;0;0;100;0;0;0;0;0;0;17;0;0;0;190,8;0;0;125;0;0;393,7;3,8;0;0;0;;;0;0;0;117,1;0;170,8
01-01-2018;08 - 09;0;150,9;88,5;0;0;268,3;0;21;0;0;28,8;0;0;0;19;0;0;77,5;0;0;0;0;0;0;224,9;0;59;0;0;0;21;0;0;0;0;271,5;0;6,4;150,9;0;0;631,1;0;0;6,4;0;;;0;0;0;120,9;0;221,5
01-01-2018;09 - 10;0;39,8;94,5;0;0;161,8;0;42;16;0;0;19,8;0;0;0;0;0;70,5;0;0;0;0;0;0;210,8;0;60;0;0;0;0;21;0;0;0;221,5;11,5;0;39,8;0;0;610,6;0;0;8,5;0;;;0;0;0;125,5;0;221,5
