date_time,holiday,month,day of week,stockholm maxtempC,stockholm mintempC,stockholm sunHour,stockholm uvIndex,stockholm cloudcover,stockholm windspeedKmph,goteborg maxtempC,goteborg mintempC,goteborg sunHour,goteborg uvIndex,goteborg cloudcover,goteborg windspeedKmph,malmo maxtempC,malmo mintempC,malmo sunHour,malmo uvIndex,malmo cloudcover,malmo windspeedKmph,linkoping maxtempC,linkoping mintempC,linkoping sunHour,linkoping uvIndex,linkoping cloudcover,linkoping windspeedKmph
2015-01-01,1.0,0.0,3.0,-0.7900591427280539,-0.6215508049124222,-1.5967761293332898,-1.0751948980803518,0.7551334133282622,2.1323760107061593,-0.717255853763388,-0.2333521676108698,-1.4980516766898613,-0.5360965226750162,1.3586854400532467,1.469485078659046,-0.8293072076386867,-0.5409743655184927,-1.5347549799827584,-0.5915478880266467,0.9163539393614466,1.3899141250340996,-0.8515015038581751,-0.38280234343201336,-1.4778182192715605,-1.0919435318774509,0.880732350400257,2.419235316234658
2015-01-02,0.0,0.0,4.0,-0.6683621770749933,-0.6215508049124222,-0.6057479523513907,-1.0751948980803518,0.36395332163848904,3.0612578073317183,-0.5730418547441243,-0.2333521676108698,-0.6057171967684624,-0.5360965226750162,0.3988851482889316,2.957725078343843,-0.6855842183584876,-0.3695355239603923,-0.5786463019572943,-0.5915478880266467,0.49937423490308736,3.451007085544252,-0.6186076652499214,-0.38280234343201336,-0.6218684808112463,-1.0919435318774509,0.28157206582019484,3.238947633976186
2015-01-03,0.0,0.0,5.0,-1.1551500396872354,-0.9293784731989944,-0.6057479523513907,-0.43376333891544117,-1.4496998307413682,3.0612578073317183,-0.8614698527826518,-0.5765723577990908,-0.5839529411606235,-0.5360965226750162,-1.109372453054992,2.0106632603626085,-0.9730301969188859,-0.712413207076593,-0.5786463019572943,-1.2761201932733148,-0.4388301001282209,2.076945111870817,-1.0843953424664288,-0.7012114233282414,-0.6009916579219703,-0.45994771097292464,-1.1282168390740688,2.419235316234658
2015-01-04,1.0,0.0,6.0,-1.2768470053402958,-0.9293784731989944,-0.6057479523513907,-0.43376333891544117,-1.414138004224116,2.2871896434770855,-1.1498978508211792,-0.7481824528932012,-0.5621886855527843,-0.5360965226750162,-1.6235511807858751,0.6577178061037026,-1.116753186199085,-0.712413207076593,-0.48303543415474803,-0.5915478880266467,-1.6550209047984352,1.527320322401443,-1.2008422617705556,-0.8604159632763554,-0.5801148350326943,-1.0919435318774509,-0.8815037807175727,2.009379157363894
2015-01-05,0.0,0.0,0.0,-1.3985439709933565,-1.2372061414855666,-0.6057479523513907,-0.43376333891544117,-0.8095869534308304,0.11979878468411419,-1.2941118498404431,-1.091402643081422,-1.0627665645330813,-1.2384021823084155,0.22749223904530394,-1.2364058298587661,-1.2604761754792841,-1.0552908901927938,-1.0567006409700264,-1.2761201932733148,0.32563269137877104,-0.9459912302107398,-1.4337361003788094,-1.1788250431725835,-0.5801148350326943,-0.45994771097292464,-1.621642955787061,-0.24482971642530815
2015-01-06,1.0,0.0,1.0,-1.2768470053402958,-1.2372061414855666,-1.402456878944682,-1.0751948980803518,0.8618188928800185,0.42942605022596725,-1.1498978508211792,-0.7481824528932012,-1.4980516766898613,-1.2384021823084155,1.118735367112168,1.198895987807265,-1.116753186199085,-0.8838520486346934,-0.5786463019572943,-1.2761201932733148,-0.021850395669861668,0.5654769408300386,-1.4337361003788094,-1.1788250431725835,-0.5801148350326943,-1.0919435318774509,0.0701037300860553,0.5748826013162198
2015-01-07,0.0,0.0,2.0,-1.1551500396872354,-0.9293784731989944,-1.402456878944682,-1.0751948980803518,1.1818753315352875,1.3583078468515266,-0.8614698527826518,-0.7481824528932012,-0.5621886855527843,-1.2384021823084155,0.3646065664402061,0.7930123515295932,-0.9730301969188859,-0.8838520486346934,-0.5786463019572943,-1.2761201932733148,0.5341225436079506,0.5654769408300386,-1.3172891810746825,-1.0196205032244694,-1.4569413963822848,-1.0919435318774509,1.1626901313791096,0.3699545218808378
2015-01-08,0.0,0.0,3.0,-0.9117561083811144,-0.6215508049124222,-1.402456878944682,-1.0751948980803518,0.9329425459145227,1.822748745164306,-0.717255853763388,-0.2333521676108698,-1.0627665645330813,-0.5360965226750162,0.6045566393812849,1.469485078659046,-0.8293072076386867,-0.5409743655184927,-1.5347549799827584,-1.2761201932733148,1.4375785699343957,1.527320322401443,-0.8515015038581751,-0.5420068833801274,-1.4569413963822848,-1.0919435318774509,1.0922006861343965,1.5995229984931298
2015-01-09,0.0,0.0,4.0,-1.2768470053402958,-1.0832923073422804,-0.5863160273125297,-1.0751948980803518,-0.0627885965685362,0.11979878468411419,-1.0056838518019156,-0.9197925479873117,-1.4980516766898613,-1.2384021823084155,0.5017208938351082,0.11653962440014007,-0.9730301969188859,-0.5409743655184927,-1.5347549799827584,-1.2761201932733148,0.6036191610176772,2.7639760987075346,-1.2008422617705556,-1.0196205032244694,-0.5592380121434183,-1.0919435318774509,-0.3528329413822238,0.16502644244545583
2015-01-10,0.0,0.0,5.0,-1.033453074034175,-1.3911199756288528,-0.9943864531286061,-1.0751948980803518,-0.1339122496030404,1.0486805813096733,-0.717255853763388,-0.9197925479873117,-1.0410023089252423,-1.2384021823084155,0.2617708208940295,2.28125235121439,-0.5418612290782885,-0.5409743655184927,-1.5347549799827584,-0.5915478880266467,0.7426123958371302,2.4891637039728476,-0.9679484231623019,-1.1788250431725835,-1.4569413963822848,-1.0919435318774509,0.0701037300860553,1.804451077928512
