Delivery,Dayahead SE3,Intraday SE3,Dayahead SE3 (s),Intraday SE3 (s)
2015-01-03 09:00:00,27.52,30.39,-0.4225546441734788,-0.15837622801045484
2015-01-03 10:00:00,27.72,27.87,-0.40733493109562535,-0.3491849863547293
2015-01-03 11:00:00,27.73,26.85,-0.4065739454417326,-0.42641710282741174
2015-01-03 12:00:00,27.66,24.75,-0.41190084501898133,-0.5854244014476406
2015-01-03 13:00:00,27.65,27.56,-0.4126618306728741,-0.3726574923415251
2015-01-03 14:00:00,27.81,26.58,-0.4004860602105913,-0.44686089836429854
2015-01-03 15:00:00,28.37,24.72,-0.3578708635926014,-0.5876959342850725
2015-01-03 16:00:00,29.23,27.26,-0.2924260973578314,-0.3953728207158433
2015-01-03 17:00:00,29.53,27.2,-0.26959652774105114,-0.39991588639070713
2015-01-03 18:00:00,29.75,27.6,-0.2528548433554124,-0.3696287818916158
2015-01-03 19:00:00,29.46,27.75,-0.2749234273182999,-0.3582711177044567
2015-01-03 20:00:00,28.69,22.58,-0.3335193226680358,-0.7497319433552104
2015-01-03 21:00:00,27.93,24.02,-0.3913542323638791,-0.640698367158482
2015-01-03 22:00:00,27.7,25.33,-0.40885690240341066,-0.5415080999239585
2015-01-03 23:00:00,27.25,26.95,-0.443101256828581,-0.41884532670263913
2015-01-04 00:00:00,27.55,22.32,-0.4202716872118007,-0.7694185612796195
2015-01-04 01:00:00,27.38,22.92,-0.43320844332797626,-0.7239879045309826
2015-01-04 02:00:00,27.17,21.38,-0.4491891420597222,-0.8405932568524839
2015-01-04 03:00:00,27.03,21.86,-0.4598429412142197,-0.8042487314535745
2015-01-04 04:00:00,27.04,17.17,-0.4590819555603272,-1.1593650317054185
2015-01-04 05:00:00,27.19,19.07,-0.4476671707519369,-1.0155012853347354
2015-01-04 06:00:00,27.13,19.49,-0.4522330846752931,-0.9836998256106898
2015-01-04 07:00:00,27.06,14.81,-0.45755998425254185,-1.3380589482500564
2015-01-04 08:00:00,27.63,19.5,-0.4141838019806594,-0.9829426479982124
2015-01-04 09:00:00,28.03,26.13,-0.3837443758249523,-0.4809338909257761
2015-01-04 10:00:00,28.24,28.47,-0.36776367709320634,-0.30375432960609267
2015-01-04 11:00:00,28.32,28.55,-0.36167579186206483,-0.2976969087062743
2015-01-04 12:00:00,28.24,30.07,-0.36776367709320634,-0.1826059116097278
2015-01-04 13:00:00,28.27,30.23,-0.3654807201315282,-0.17049106981009132
2015-01-04 14:00:00,28.32,30.32,-0.36167579186206483,-0.16367647129779583
2015-01-04 15:00:00,28.7,32.46,-0.33275833701414326,-0.0016404622276579462
2015-01-04 16:00:00,29.58,34.56,-0.26579159947158804,0.15736683639257087
2015-01-04 17:00:00,29.92,34.48,-0.23991808723923683,0.15130941549275223
2015-01-04 18:00:00,29.91,35.57,-0.24067907289312962,0.23384177525277597
2015-01-04 19:00:00,29.77,35.85,-0.2513328720476271,0.25504274840213986
2015-01-04 20:00:00,29.45,34.68,-0.2756844129721927,0.16645296774229804
2015-01-04 21:00:00,29.06,34.37,-0.30536285347400705,0.1429804617555022
2015-01-04 22:00:00,29.03,33.01,-0.3076458104356849,0.040004306458592216
2015-01-04 23:00:00,28.02,33.83,-0.38450536147884506,0.10209287068172916
2015-01-05 00:00:00,29.06,32.37,-0.30536285347400705,-0.008455060739953722
2015-01-05 01:00:00,28.88,31.61,-0.31906059524407515,-0.06600055928822682
2015-01-05 02:00:00,28.87,31.46,-0.3198215808979677,-0.07735822347538591
2015-01-05 03:00:00,28.97,31.22,-0.3122117243590411,-0.09553048617484076
2015-01-05 04:00:00,29.34,31.45,-0.28405525516501207,-0.0781154010878633
2015-01-05 05:00:00,30.33,32.15,-0.20871767542963746,-0.025112968214453787
2015-01-05 06:00:00,31.39,32.01,-0.12805319611701382,-0.03571345478913574
2015-01-05 07:00:00,32.84,24.27,-0.01771027630257584,-0.62176892684655
2015-01-05 08:00:00,38.15,29.5,0.3863731059144338,-0.22576503552093277
2015-01-05 09:00:00,41.51,29.66,0.6420642856223723,-0.2136501937212963
2015-01-05 10:00:00,40.46,29.36,0.5621607919636417,-0.23636552209561473
2015-01-05 11:00:00,40.97,30.21,0.600971060312168,-0.17200542503504587
2015-01-05 12:00:00,40.72,28.93,0.5819464189648511,-0.2689241594321377
2015-01-05 13:00:00,41.92,30.52,0.6732646974319721,-0.14853291904825028
2015-01-05 14:00:00,42.0,29.8,0.6793525826631135,-0.20304970714661433
2015-01-05 15:00:00,43.1,35.17,0.7630610045913078,0.20355467075368489
2015-01-05 16:00:00,46.7,38.13,1.0370158399926706,0.42767924404695973
2015-01-05 17:00:00,56.78,43.15,1.804089379116486,0.8077824055105538
2015-01-05 18:00:00,58.84,42.37,1.960852423818377,0.7487225517373259
2015-01-05 19:00:00,49.23,37.26,1.2295452104275166,0.36180479176143604
2015-01-05 20:00:00,44.32,33.82,0.8559012543662139,0.10133569306925204
2015-01-05 21:00:00,35.86,32.46,0.21210739117301147,-0.0016404622276579462
2015-01-05 22:00:00,32.56,31.79,-0.0390178746115708,-0.05237136226363581
2015-01-05 23:00:00,30.03,31.38,-0.23154724504641747,-0.08341564437520428
2015-01-06 00:00:00,30.02,29.04,-0.23230823070031026,-0.2605952056948877
2015-01-06 01:00:00,29.81,28.31,-0.24828892943205647,-0.3158691714057292
2015-01-06 02:00:00,29.41,31.49,-0.2787283555877633,-0.07508669063795426
2015-01-06 03:00:00,29.11,31.51,-0.3015579252045436,-0.07357233541299946
2015-01-06 04:00:00,29.5,30.71,-0.27187948470272927,-0.13414654441118187
2015-01-06 05:00:00,29.64,29.67,-0.2612256855482318,-0.2128930161088189
2015-01-06 06:00:00,29.67,32.96,-0.2589427285865537,0.036218418396206035
