Delivery,Dayahead SE3,Intraday SE3,Dayahead SE3 (s),Intraday SE3 (s)
2015-01-03 08:00:00,26.98,30.18,-0.46364786948368314,-0.18239484707475656
2015-01-03 09:00:00,27.52,30.39,-0.4225546441734788,-0.16681383883242232
2015-01-03 10:00:00,27.72,27.87,-0.40733493109562535,-0.3537859377404325
2015-01-03 11:00:00,27.73,26.85,-0.4065739454417326,-0.4294651206317699
2015-01-03 12:00:00,27.66,24.75,-0.41190084501898133,-0.5852752030551118
2015-01-03 13:00:00,27.65,27.56,-0.4126618306728741,-0.3767864737172117
2015-01-03 14:00:00,27.81,26.58,-0.4004860602105913,-0.44949784551477123
2015-01-03 15:00:00,28.37,24.72,-0.3578708635926014,-0.5875010613754453
2015-01-03 16:00:00,29.23,27.26,-0.2924260973578314,-0.399045056920546
2015-01-03 17:00:00,29.53,27.2,-0.26959652774105114,-0.40349677356121305
2015-01-03 18:00:00,29.75,27.6,-0.2528548433554124,-0.37381866262343355
2015-01-03 19:00:00,29.46,27.75,-0.2749234273182999,-0.36268937102176635
2015-01-03 20:00:00,28.69,22.58,-0.3335193226680358,-0.7462789548925651
2015-01-03 21:00:00,27.93,24.02,-0.3913542323638791,-0.6394377555165592
2015-01-03 22:00:00,27.7,25.33,-0.40885690240341066,-0.5422419421953318
2015-01-03 23:00:00,27.25,26.95,-0.443101256828581,-0.4220455928973252
2015-01-04 00:00:00,27.55,22.32,-0.4202716872118007,-0.7655697270021216
2015-01-04 01:00:00,27.38,22.92,-0.43320844332797626,-0.7210525605954524
2015-01-04 02:00:00,27.17,21.38,-0.4491891420597222,-0.8353132877059033
2015-01-04 03:00:00,27.03,21.86,-0.4598429412142197,-0.799699554580568
2015-01-04 04:00:00,27.04,17.17,-0.4590819555603272,-1.1476754053260312
2015-01-04 05:00:00,27.19,19.07,-0.4476671707519369,-1.0067043783715792
2015-01-04 06:00:00,27.13,19.49,-0.4522330846752931,-0.9755423618869109
2015-01-04 07:00:00,27.06,14.81,-0.45755998425254185,-1.3227762598589294
2015-01-04 08:00:00,27.63,19.5,-0.4141838019806594,-0.9748004091134663
2015-01-04 09:00:00,28.03,26.13,-0.3837443758249523,-0.48288572031977295
2015-01-04 10:00:00,28.24,28.47,-0.36776367709320634,-0.3092687713337635
2015-01-04 11:00:00,28.32,28.55,-0.36167579186206483,-0.3033331491462075
2015-01-04 12:00:00,28.24,30.07,-0.36776367709320634,-0.19055632758264587
2015-01-04 13:00:00,28.27,30.23,-0.3654807201315282,-0.1786850832075341
2015-01-04 14:00:00,28.32,30.32,-0.36167579186206483,-0.17200750824653374
2015-01-04 15:00:00,28.7,32.46,-0.33275833701414326,-0.013229614729413954
2015-01-04 16:00:00,29.58,34.56,-0.26579159947158804,0.14258046769392796
2015-01-04 17:00:00,29.92,34.48,-0.23991808723923683,0.13664484550637168
2015-01-04 18:00:00,29.91,35.57,-0.24067907289312962,0.2175176978118208
2015-01-04 19:00:00,29.77,35.85,-0.2513328720476271,0.23829237546826643
2015-01-04 20:00:00,29.45,34.68,-0.2756844129721927,0.1514839009752616
2015-01-04 21:00:00,29.06,34.37,-0.30536285347400705,0.1284833649984824
2015-01-04 22:00:00,29.03,33.01,-0.3076458104356849,0.0275777878100325
2015-01-04 23:00:00,28.02,33.83,-0.38450536147884506,0.08841791523248027
2015-01-05 00:00:00,29.06,32.37,-0.30536285347400705,-0.019907189690414568
2015-01-05 01:00:00,28.88,31.61,-0.31906059524407515,-0.07629560047219527
2015-01-05 02:00:00,28.87,31.46,-0.3198215808979677,-0.08742489207386243
2015-01-05 03:00:00,28.97,31.22,-0.3122117243590411,-0.10523175863653021
2015-01-05 04:00:00,29.34,31.45,-0.28405525516501207,-0.08816684484730704
2015-01-05 05:00:00,30.33,32.15,-0.20871767542963746,-0.03623015070619315
2015-01-05 06:00:00,31.39,32.01,-0.12805319611701382,-0.04661748953441598
2015-01-05 07:00:00,32.84,24.27,-0.01771027630257584,-0.6208889361804472
2015-01-05 08:00:00,38.15,29.5,0.3863731059144338,-0.2328476356689815
2015-01-05 09:00:00,41.51,29.66,0.6420642856223723,-0.22097639129386976
2015-01-05 10:00:00,40.46,29.36,0.5621607919636417,-0.24323497449720435
2015-01-05 11:00:00,40.97,30.21,0.600971060312168,-0.18016898875442303
2015-01-05 12:00:00,40.72,28.93,0.5819464189648511,-0.27513894375531717
2015-01-05 13:00:00,41.92,30.52,0.6732646974319721,-0.1571684527776441
2015-01-05 14:00:00,42.0,29.8,0.6793525826631135,-0.21058905246564694
2015-01-05 15:00:00,43.1,35.17,0.7630610045913078,0.18783958687404148
2015-01-05 16:00:00,46.7,38.13,1.0370158399926706,0.40745760781360907
2015-01-05 17:00:00,56.78,43.15,1.804089379116486,0.7799179000827401
2015-01-05 18:00:00,58.84,42.37,1.960852423818377,0.7220455837540702
2015-01-05 19:00:00,49.23,37.26,1.2295452104275166,0.34290771652393853
2015-01-05 20:00:00,44.32,33.82,0.8559012543662139,0.08767596245903594
2015-01-05 21:00:00,35.86,32.46,0.21210739117301147,-0.013229614729413954
2015-01-05 22:00:00,32.56,31.79,-0.0390178746115708,-0.06294045055019457
2015-01-05 23:00:00,30.03,31.38,-0.23154724504641747,-0.09336051426141845
2015-01-06 00:00:00,30.02,29.04,-0.23230823070031026,-0.2669774632474279
2015-01-06 01:00:00,29.81,28.31,-0.24828892943205647,-0.3211400157088753
2015-01-06 02:00:00,29.41,31.49,-0.2787283555877633,-0.08519903375352916
2015-01-06 03:00:00,29.11,31.51,-0.3015579252045436,-0.08371512820663995
2015-01-06 04:00:00,29.5,30.71,-0.27187948470272927,-0.1430713500821988
2015-01-06 05:00:00,29.64,29.67,-0.2612256855482318,-0.22023443852042515
2015-01-06 06:00:00,29.67,32.96,-0.2589427285865537,0.023868023942810287
2015-01-06 07:00:00,30.03,33.73,-0.23154724504641747,0.08099838749803533
2015-01-06 08:00:00,30.5,32.95,-0.19578091931346187,0.02312607116936595
2015-01-06 09:00:00,30.35,31.7,-0.20719570412185187,-0.06961802551119492
2015-01-06 10:00:00,30.53,29.5,-0.19349796235178374,-0.2328476356689815
2015-01-06 11:00:00,30.47,29.09,-0.19806387627513997,-0.2632676993802054
2015-01-06 12:00:00,30.06,28.86,-0.22926428808473961,-0.2803326131694286
2015-01-06 13:00:00,29.98,28.18,-0.23535217331588087,-0.3307854017636535
2015-01-06 14:00:00,29.99,29.21,-0.23459118766198836,-0.2543642660988715
2015-01-06 15:00:00,30.48,30.12,-0.19730289062124717,-0.18684656371542338
2015-01-06 16:00:00,30.83,30.12,-0.17066839273500373,-0.18684656371542338
2015-01-06 17:00:00,31.04,31.26,-0.15468769400325752,-0.10226394754275207
